state,observation,empft,emppt,nmgrs,fte
New Jersey,November 1992,0,17.5,4,12.75
New Jersey,November 1992,0,15,3,10.5
New Jersey,November 1992,15,10,2,22
New Jersey,November 1992,2,6,3,8
New Jersey,November 1992,12,18,4,25
New Jersey,November 1992,0,19,3,12.5
New Jersey,November 1992,4.5,30,3,22.5
New Jersey,November 1992,4,9,3,11.5
New Jersey,November 1992,8,25,3,23.5
New Jersey,November 1992,10,32,4,30
New Jersey,November 1992,11,3,4,16.5
New Jersey,November 1992,5,40,4,29
New Jersey,November 1992,16,22,3,30
New Jersey,November 1992,13,11,4,22.5
New Jersey,November 1992,4,34,3,24
New Jersey,November 1992,12,13.5,3,21.75
New Jersey,November 1992,8.5,6,2,13.5
New Jersey,November 1992,5,32,3,24
New Jersey,November 1992,6,37,4,28.5
New Jersey,November 1992,0,14,3,10
New Jersey,November 1992,2,35,4,23.5
New Jersey,November 1992,20,15,3,30.5
New Jersey,November 1992,12,17.5,4,24.75
New Jersey,November 1992,0,35,5,22.5
New Jersey,November 1992,20,10,3,28
New Jersey,November 1992,2,18,3,14
New Jersey,November 1992,0,12,3,9
New Jersey,November 1992,5,3,3,9.5
New Jersey,November 1992,9,9,2,15.5
New Jersey,November 1992,3,12,3,12
New Jersey,November 1992,1,15,3,11.5
New Jersey,November 1992,2,15,3,12.5
New Jersey,November 1992,3,20,3,16
New Jersey,November 1992,12,25,4,28.5
New Jersey,November 1992,0,26,2,15
New Jersey,November 1992,11,19,3,23.5
New Jersey,November 1992,22,11,3,30.5
New Jersey,November 1992,15,17,3,26.5
New Jersey,November 1992,18,10,4,27
New Jersey,November 1992,15,7,3,21.5
New Jersey,November 1992,NA,28,3,NA
New Jersey,November 1992,9,17,4,21.5
New Jersey,November 1992,25,15,5,37.5
New Jersey,November 1992,0,19,2,11.5
New Jersey,November 1992,7,22,3,21
New Jersey,November 1992,16,12,6,28
New Jersey,November 1992,0,40,4,24
New Jersey,November 1992,10,14,6,23
New Jersey,November 1992,10,12,3,19
New Jersey,November 1992,2,4,3,7
New Jersey,November 1992,4,8,6,14
New Jersey,November 1992,NA,NA,NA,NA
New Jersey,November 1992,20,18,3,32
New Jersey,November 1992,4,26,5,22
New Jersey,November 1992,0,22.5,3,14.25
New Jersey,November 1992,0,23,5,16.5
New Jersey,November 1992,0,0,0,0
New Jersey,November 1992,30,25,5,47.5
New Jersey,November 1992,10,3,4,15.5
New Jersey,November 1992,2,11,3,10.5
New Jersey,November 1992,1,8,2,7
New Jersey,November 1992,1,14,3,11
New Jersey,November 1992,0,9,4,8.5
New Jersey,November 1992,0,0,0,0
New Jersey,November 1992,6,12,3,15
New Jersey,November 1992,3,15,3,13.5
New Jersey,November 1992,2,15,3,12.5
New Jersey,November 1992,2,15,3,12.5
New Jersey,November 1992,5,9,3,12.5
New Jersey,November 1992,3,10,2,10
New Jersey,November 1992,0,23,2,13.5
New Jersey,November 1992,5,16,3,16
New Jersey,November 1992,15,11,3,23.5
New Jersey,November 1992,NA,21,4,NA
New Jersey,November 1992,15,30,4,34
New Jersey,November 1992,12,35,3,32.5
New Jersey,November 1992,10,15,4,21.5
New Jersey,November 1992,5,22,4,20
New Jersey,November 1992,25,25,6,43.5
New Jersey,November 1992,3,23,3,17.5
New Jersey,November 1992,3,2,3,7
New Jersey,November 1992,0,30,NA,NA
New Jersey,November 1992,15,6,4,22
New Jersey,November 1992,12,14,3,22
New Jersey,November 1992,4,0,3,7
New Jersey,November 1992,7,6,4,14
New Jersey,November 1992,22,4,3,27
New Jersey,November 1992,12,5,4,18.5
New Jersey,November 1992,1,15,3,11.5
New Jersey,November 1992,3,20,3,16
New Jersey,November 1992,10,20,5,25
New Jersey,November 1992,25,5,3,30.5
New Jersey,November 1992,5,9,2,11.5
New Jersey,November 1992,15,17,2,25.5
New Jersey,November 1992,3,7,3,9.5
New Jersey,November 1992,4,11,2,11.5
New Jersey,November 1992,3,12,3,12
New Jersey,November 1992,0,0,0,0
New Jersey,November 1992,5,20,2,17
New Jersey,November 1992,10,20,4,24
New Jersey,November 1992,NA,NA,NA,NA
New Jersey,November 1992,NA,31,4,NA
New Jersey,November 1992,3,17,2,13.5
New Jersey,November 1992,0,26,4,17
New Jersey,November 1992,5,32,7,28
New Jersey,November 1992,4,23,6,21.5
New Jersey,November 1992,24,4,4,30
New Jersey,November 1992,14,7,2,19.5
New Jersey,November 1992,1,30,4,20
New Jersey,November 1992,1,19,4,14.5
New Jersey,November 1992,0,25,2,14.5
New Jersey,November 1992,0,0,0,0
New Jersey,November 1992,26,5,3,31.5
New Jersey,November 1992,0,17,3,11.5
New Jersey,November 1992,11,12,3,20
New Jersey,November 1992,28,6,3,34
New Jersey,November 1992,15,14,3,25
New Jersey,November 1992,7,2,2,10
New Jersey,November 1992,0,30,3,18
New Jersey,November 1992,15,14,3,25
New Jersey,November 1992,14,10,4,23
New Jersey,November 1992,12,7,2,17.5
New Jersey,November 1992,18,4,3,23
New Jersey,November 1992,8,30,3,26
New Jersey,November 1992,6,15,3,16.5
New Jersey,November 1992,25,15,3,35.5
New Jersey,November 1992,18,18,4,31
New Jersey,November 1992,8,24,3,23
New Jersey,November 1992,5,27,4,22.5
New Jersey,November 1992,17,5,2,21.5
New Jersey,November 1992,1.5,15,3,12
New Jersey,November 1992,0,35,3,20.5
New Jersey,November 1992,4,36,3,25
New Jersey,November 1992,0,13,2,8.5
New Jersey,November 1992,0,20,3,13
New Jersey,November 1992,13,9,4,21.5
New Jersey,November 1992,0,38,4,23
New Jersey,November 1992,13,17,4,25.5
New Jersey,November 1992,0,35,4,21.5
New Jersey,November 1992,5,5,2,9.5
New Jersey,November 1992,25,7,8,36.5
New Jersey,November 1992,5,10,6,16
New Jersey,November 1992,19,3.5,3,23.75
New Jersey,November 1992,12,3,4,17.5
New Jersey,November 1992,5,25,3,20.5
New Jersey,November 1992,0,35,3,20.5
New Jersey,November 1992,10,24,3,25
